,text,sentiment
0,@DojaCat Attention time,neutral
1,I want to eat @DojaCat ass,neutral
2,"RT @girlsinrap: Most Viewed Female Rappers On YouTube: (Last 12 Months) 

@NICKIMINAJ — 3.38B
@DojaCat — 1.78B
@iamcardib — 1.43B 
@theesta…",positive
3,@LadySs @CapitalXTRA @DojaCat @ShaynaTMarie you star,neutral
4,Another brand new one for #OffTheGrill899! @AnneMarie &amp; @DojaCat looking at what it's like To Be Young on @Magic899 https://t.co/fzPX8Ryqz0,positive
5,RT @NickiOnChart: “Tusa” has surpassed @DojaCat’s “Say So” and is now the highest song by a female rapper on Global Spotify chart currently…,neutral
6,@AfroForward @sophieodira @shy6996 @blackconundrum @tomscvm @DojaCat Tell me I’m * not,neutral
7,@AfroForward @sophieodira @shy6996 @blackconundrum @tomscvm @DojaCat Yeah they had an advantage but they still lived the lives of slaves. That analogy stands too this day in this country. So it’s hurtful when the people I struggle with tell me ok not in this struggle. 33% of BM in the USA will see the inside of a jail at some point. I’ve seen 6,positive
8,@dojaddiction @FinnDaHuman__ @DojaCat How you looks 🤡 talking about my Finn 😤,neutral
9,RT @DojaCat: what time is it?,neutral
10,Anne-Marie - To Be Young (feat. Doja Cat) [Official Lyrics Video] https://t.co/fqlGxLw9xv via @YouTube @AnneMarie @DojaCat,positive
11,RT @DojaCat: Vote for me for PUSH Best New Artist 🗳! You can vote at https://t.co/Oc5UzMiFnj #VMAs https://t.co/rkWAmGqv2p,positive
12,RT @DojaCat: what time is it?,neutral
13,"RT @girlsinrap: Most Viewed Female Rappers On YouTube: (Last 12 Months) 

@NICKIMINAJ — 3.38B
@DojaCat — 1.78B
@iamcardib — 1.43B 
@theesta…",positive
14,"RT @BRITs: ☀️🎶 Fresh tunes, shining sun, what more could you ask for on #NewMusicFriday? Here's who we'll be listening to this weekend:

💖…",positive
15,"RT @sonyatvpubuk: Today's #FRESHLIST features:

🌟@beabad00bee
🌟@elliegoulding
🌟@AnneMarie @DojaCat
🌟@unknwnt9 @YoungTandBugsey
🌟@CalvinHarr…",neutral
16,@DojaCat im still waiting for that song to drop 🥱😪,neutral
17,"@makkktruck @DojaCat Whyyyyyyyyyy?, 😭😭😭😭",neutral
18,"Vote @annemarie ft @dojacat ""To Be Young"" as your favorite CreativeDisc Exclusive Single this week: https://t.co/yJ8WU5lwB7",positive
19,RT @DojaCat: what time is it?,neutral
20,"@stephodiase @MarshNotAPro @_kateinnes @DojaCat The song is called Dindu Nuffin &amp; the lyrics are garbage, it's already a mockery of police brutality that black people have to deal with, so do me a favour, stfu &amp; move.",negative
21,RT @y2k2y: @DojaCat holy shit did you get to ride in his little red car,negative
22,RT @DojaCat: what time is it?,neutral
23,RT @fagnxiety: @DojaCat vagina i think  https://t.co/ReppefRO9m,neutral
24,"RT @DojaCat: New Flo Milli shit got my body completely still while my left asscheek making dents in the ceiling. Go watch ""Like That Bitch""…",positive
25,@DojaCat are you ok...,positive
26,@AriBlanco86 @DojaCat Don’t use those homophobic slurs around me just because you can’t take criticism,neutral
27,@ShadowW01845294 @DojaCat Not my body so not my problem,neutral
28,RT @DojaCat: Vote for me for PUSH Best New Artist 🗳! You can vote at https://t.co/Oc5UzMiFnj #VMAs https://t.co/rkWAmGqv2p,positive
29,“Tusa” has surpassed @DojaCat’s “Say So” and is now the highest song by a female rapper on Global Spotify chart currently. https://t.co/JucGhWCAi6,neutral
30,"RT @NickiOnChart: 🌎 United World Chart (UWC).

12. “Say So” — @DojaCat &amp; @NICKIMINAJ [-1] *peak #2* (21 weeks) 

140.000 points. [4.333.000…",neutral
31,@AfroForward @marcus99B @shy6996 @blackconundrum @tomscvm @DojaCat by white parents in a fully white family that wouldn’t make them any less black,negative
32,"@AfroForward @marcus99B @shy6996 @blackconundrum @tomscvm @DojaCat i get you but mixed people (b&amp;w) experience racism BECAUSE of our blackness, we aren’t called asian racial slurs or hispanic racial slurs we are called black racial slurs because that is part of our identity, idk if i’ve made it clear to you that i’d never only (...)",negative
33,"@AfroForward @marcus99B @shy6996 @blackconundrum @tomscvm @DojaCat difference is i never said even white people, i said everyone because YOU brought up middle easterners when we are having a conversation about black people. i have also said multiple times that i don’t have it as hard as a darkskinned black person.",negative
34,@AfroForward @marcus99B @shy6996 @blackconundrum @tomscvm @DojaCat are lightskinned fully black people ‘not black’ because they don’t have it as hard as darkskinned people ??? you sound so ridiculous,negative
35,@AfroForward @marcus99B @shy6996 @blackconundrum @tomscvm @DojaCat you still haven’t responded to my point about if a black person was adopted and raised by a white family does that make them any less black ?,negative
36,@AfroForward @marcus99B @shy6996 @blackconundrum @tomscvm @DojaCat even if they have the ‘white privilege’ of their family?,neutral
37,"@AfroForward @marcus99B @shy6996 @blackconundrum @tomscvm @DojaCat claim my black side or only claim my white side because OF COURSE i am both, but i walk through this world as a biracial BLACK WOMAN not a biracial WHITE woman because otherwise i wouldn’t experience any of the things that i’ve experienced",positive
38,"@AfroForward @marcus99B @shy6996 @blackconundrum @tomscvm @DojaCat my underlying point is that i am black and if you are black presenting you are black, white passing mixed people have obvious white privilege because they look white but they are still black as there is a spectrum. if a black person was adopted and born and raised (...)",negative
39,RT @DojaCat: what time is it?,neutral
40,"@sophieodira @marcus99B @shy6996 @blackconundrum @tomscvm @DojaCat the unique experience of coming from 2 parents that are black m, viewed by society as such, and treated by society as such, w/ all the T&amp;C that stem from it. 

Nobody’s gate keeping here, our 2 distinct living experiences do that for us already,&amp; it’s important to recognise that",positive
41,RT @DojaCat: Vote for me for PUSH Best New Artist 🗳! You can vote at https://t.co/Oc5UzMiFnj #VMAs https://t.co/rkWAmGqv2p,positive
42,RT @AnneMarie: TO BE YOUNG with @dojacat is OUT NOW!!! DO YOU LIKE IT? DO YOU LOVE IT? 😬 https://t.co/BQpwGzeU2H https://t.co/zdfbUpKJLS,positive
43,RT @DojaCat: what time is it?,neutral
44,"RT @spotify_data: Female artists on Spotify (July 22, 2020)
 
#11 @selenagomez 5.96m 
#12 @DojaCat 5.95m
#13 @Camila_Cabello 5.83m
#14 @Ava…",neutral
45,RT @DojaCat: what time is it?,neutral
46,@IOPoutcertified @mixed_minaj @scftieluvs @bardiibardii @girlsinrap @NICKIMINAJ @DojaCat @theestallion @iamcardib You do realize that album went #2 is multi platinum and she’s gotten 2 #1s in 2020 11 years into her career y’all can say no one is buying her music but the numbers don’t lie,neutral
47,@Honduran_Flower @DojaCat THIS IS SO FUCKING CUTE,positive
48,@Honduran_Flower @DojaCat @lovebeingsofie you need a pair,neutral
49,"RT @Honduran_Flower: @DojaCat Doja💗 can you please check out my website💗 selling cute items for the ladies💗 

 https://t.co/Ty2jbrA6Jq http…",positive
50,RT @DojaCat: Vote for me for PUSH Best New Artist 🗳! You can vote at https://t.co/Oc5UzMiFnj #VMAs https://t.co/rkWAmGqv2p,positive
51,RT @PopCraveMusic: .@CityGirls will be releasing the music video for #PussyTalk featuring @DojaCat tomorrow at 12 PM PST. 💵https://t.co/1gn…,neutral
52,"RT @chartdoja: .@DojaCat has been nominated for “Best New Artist” at the 2020 @VMAs.

VOTE NOW: https://t.co/BCR9UwInEp
https://t.co/oi0agT…",positive
53,"RT @girlsinrap: Most Viewed Female Rappers On YouTube: (Last 12 Months) 

@NICKIMINAJ — 3.38B
@DojaCat — 1.78B
@iamcardib — 1.43B 
@theesta…",positive
54,"RT @NOWMusic: OUT NOW! 

Listen to 'Like That' by @DojaCat feat. @gucci1017 on NOW 106!

FULL TRACKLIST: https://t.co/GL0CoXcAwv https://t.…",positive
55,RT @DojaCat: Vote for me for PUSH Best New Artist 🗳! You can vote at https://t.co/Oc5UzMiFnj #VMAs https://t.co/rkWAmGqv2p,positive
56,RT @NickiOnChart: “Tusa” has surpassed @DojaCat’s “Say So” and is now the highest song by a female rapper on Global Spotify chart currently…,neutral
57,"RT @girlsinrap: Most Viewed Female Rappers On YouTube: (Last 12 Months) 

@NICKIMINAJ — 3.38B
@DojaCat — 1.78B
@iamcardib — 1.43B 
@theesta…",positive
58,@theeshotminaj @bossy34 @girlsinrap @NICKIMINAJ @DojaCat @iamcardib @theestallion @Saweetie @IGGYAZALEA @MissyElliott @stefflondon @citygirls @TierraWhack Wait &amp; see how Cardi B releases new music and how she will be tanked 💀 One Hit Wonder. Remember the time we fight with Azaleans years ago and they were all the same with BardiGangs.,positive
59,@bossy34 @theeshotminaj @girlsinrap @NICKIMINAJ @DojaCat @iamcardib @theestallion @Saweetie @IGGYAZALEA @MissyElliott @stefflondon @citygirls @TierraWhack Remember MJ died and he still the King &amp; Legendary💀,positive
60,@labardi813 @nickigoatasf @girlsinrap @NICKIMINAJ @DojaCat @iamcardib @theestallion Well it’s not about not dropping music for a year 🤔,neutral
61,Anyways @DojaCat please release Up and Down https://t.co/Mvj2oM4lw7,negative
62,@Jokesroom1 @labardi813 @nickigoatasf @girlsinrap @NICKIMINAJ @DojaCat @iamcardib @theestallion She didn't even last 3 years in the game and already washed up,negative
63,@charlesszilla @girlsinrap @NICKIMINAJ @DojaCat @iamcardib @theestallion No.3 didn't even last 3 years in the industry and been flopping 💀💀,neutral
64,RT @DojaCat: what time is it?,neutral
65,@DojaCat Stream folklore time,neutral
